Dec. 30, 2025   15:17:38
Cyclic Voltammetry
-0.737, -1.602e-4
-0.736, -1.596e-4
-0.735, -1.588e-4
-0.734, -1.581e-4
-0.733, -1.574e-4
-0.732, -1.567e-4
-0.731, -1.559e-4
-0.730, -1.552e-4
-0.729, -1.545e-4
-0.728, -1.538e-4
-0.727, -1.531e-4
-0.726, -1.524e-4
-0.725, -1.517e-4
-0.724, -1.510e-4
-0.723, -1.503e-4
-0.722, -1.497e-4
-0.721, -1.489e-4
-0.720, -1.483e-4
-0.719, -1.476e-4
-0.718, -1.469e-4
-0.717, -1.462e-4
-0.716, -1.456e-4
-0.715, -1.449e-4
-0.714, -1.443e-4
-0.713, -1.436e-4
-0.712, -1.429e-4
-0.711, -1.423e-4
-0.710, -1.416e-4
-0.709, -1.409e-4
-0.708, -1.403e-4
-0.707, -1.397e-4
-0.706, -1.390e-4
-0.705, -1.383e-4
-0.704, -1.377e-4
-0.703, -1.371e-4
-0.702, -1.365e-4
-0.701, -1.358e-4
-0.700, -1.352e-4
-0.699, -1.345e-4
-0.698, -1.339e-4
-0.697, -1.333e-4
-0.696, -1.327e-4
-0.695, -1.320e-4
-0.694, -1.314e-4
-0.693, -1.308e-4
-0.692, -1.302e-4
-0.691, -1.296e-4
-0.690, -1.290e-4
-0.689, -1.284e-4
-0.688, -1.278e-4
-0.687, -1.272e-4
-0.686, -1.266e-4
-0.685, -1.260e-4
-0.684, -1.254e-4
-0.683, -1.249e-4
-0.682, -1.243e-4
-0.681, -1.237e-4
-0.680, -1.232e-4
-0.679, -1.226e-4
-0.678, -1.220e-4
-0.677, -1.214e-4
-0.676, -1.209e-4
-0.675, -1.203e-4
-0.674, -1.197e-4
-0.673, -1.191e-4
-0.672, -1.186e-4
-0.671, -1.180e-4
-0.670, -1.175e-4
-0.669, -1.169e-4
-0.668, -1.163e-4
-0.667, -1.158e-4
-0.666, -1.152e-4
-0.665, -1.147e-4
-0.664, -1.141e-4
-0.663, -1.136e-4
-0.662, -1.130e-4
-0.661, -1.125e-4
-0.660, -1.119e-4
-0.659, -1.114e-4
-0.658, -1.109e-4
-0.657, -1.103e-4
-0.656, -1.098e-4
-0.655, -1.092e-4
-0.654, -1.087e-4
-0.653, -1.082e-4
-0.652, -1.077e-4
-0.651, -1.072e-4
-0.650, -1.067e-4
-0.649, -1.062e-4
-0.648, -1.057e-4
-0.647, -1.052e-4
-0.646, -1.047e-4
-0.645, -1.041e-4
-0.644, -1.036e-4
-0.643, -1.031e-4
-0.642, -1.026e-4
-0.641, -1.021e-4
-0.640, -1.016e-4
-0.639, -1.011e-4
-0.638, -1.006e-4
-0.637, -1.001e-4
-0.636, -9.964e-5
-0.635, -9.917e-5
-0.634, -9.866e-5
-0.633, -9.817e-5
-0.632, -9.769e-5
-0.631, -9.718e-5
-0.630, -9.673e-5
-0.629, -9.626e-5
-0.628, -9.577e-5
-0.627, -9.528e-5
-0.626, -9.480e-5
-0.625, -9.434e-5
-0.624, -9.390e-5
-0.623, -9.344e-5
-0.622, -9.297e-5
-0.621, -9.249e-5
-0.620, -9.203e-5
-0.619, -9.157e-5
-0.618, -9.114e-5
-0.617, -9.067e-5
-0.616, -9.022e-5
-0.615, -8.973e-5
-0.614, -8.925e-5
-0.613, -8.881e-5
-0.612, -8.837e-5
-0.611, -8.793e-5
-0.610, -8.748e-5
-0.609, -8.704e-5
-0.608, -8.659e-5
-0.607, -8.616e-5
-0.606, -8.573e-5
-0.605, -8.528e-5
-0.604, -8.484e-5
-0.603, -8.441e-5
-0.602, -8.396e-5
-0.601, -8.355e-5
-0.600, -8.312e-5
-0.599, -8.269e-5
-0.598, -8.226e-5
-0.597, -8.186e-5
-0.596, -8.143e-5
-0.595, -8.104e-5
-0.594, -8.061e-5
-0.593, -8.021e-5
-0.592, -7.978e-5
-0.591, -7.937e-5
-0.590, -7.896e-5
-0.589, -7.856e-5
-0.588, -7.814e-5
-0.587, -7.775e-5
-0.586, -7.732e-5
-0.585, -7.693e-5
-0.584, -7.651e-5
-0.583, -7.614e-5
-0.582, -7.573e-5
-0.581, -7.535e-5
-0.580, -7.494e-5
-0.579, -7.456e-5
-0.578, -7.415e-5
-0.577, -7.379e-5
-0.576, -7.338e-5
-0.575, -7.301e-5
-0.574, -7.262e-5
-0.573, -7.224e-5
-0.572, -7.184e-5
-0.571, -7.147e-5
-0.570, -7.107e-5
-0.569, -7.072e-5
-0.568, -7.032e-5
-0.567, -6.997e-5
-0.566, -6.960e-5
-0.565, -6.923e-5
-0.564, -6.884e-5
-0.563, -6.846e-5
-0.562, -6.808e-5
-0.561, -6.775e-5
-0.560, -6.739e-5
-0.559, -6.707e-5
-0.558, -6.669e-5
-0.557, -6.637e-5
-0.556, -6.599e-5
-0.555, -6.566e-5
-0.554, -6.529e-5
-0.553, -6.497e-5
-0.552, -6.459e-5
-0.551, -6.426e-5
-0.550, -6.388e-5
-0.549, -6.355e-5
-0.548, -6.317e-5
-0.547, -6.286e-5
-0.546, -6.250e-5
-0.545, -6.219e-5
-0.544, -6.181e-5
-0.543, -6.150e-5
-0.542, -6.115e-5
-0.541, -6.081e-5
-0.540, -6.043e-5
-0.539, -6.014e-5
-0.538, -5.975e-5
-0.537, -5.947e-5
-0.536, -5.911e-5
-0.535, -5.881e-5
-0.534, -5.846e-5
-0.533, -5.815e-5
-0.532, -5.779e-5
-0.531, -5.750e-5
-0.530, -5.715e-5
-0.529, -5.688e-5
-0.528, -5.655e-5
-0.527, -5.625e-5
-0.526, -5.589e-5
-0.525, -5.560e-5
-0.524, -5.525e-5
-0.523, -5.496e-5
-0.522, -5.462e-5
-0.521, -5.434e-5
-0.520, -5.401e-5
-0.519, -5.374e-5
-0.518, -5.337e-5
-0.517, -5.311e-5
-0.516, -5.277e-5
-0.515, -5.250e-5
-0.514, -5.215e-5
-0.513, -5.189e-5
-0.512, -5.155e-5
-0.511, -5.128e-5
-0.510, -5.096e-5
-0.509, -5.070e-5
-0.508, -5.036e-5
-0.507, -5.009e-5
-0.506, -4.975e-5
-0.505, -4.951e-5
-0.504, -4.917e-5
-0.503, -4.892e-5
-0.502, -4.860e-5
-0.501, -4.835e-5
-0.500, -4.800e-5
-0.499, -4.777e-5
-0.498, -4.743e-5
-0.497, -4.721e-5
-0.496, -4.690e-5
-0.495, -4.666e-5
-0.494, -4.634e-5
-0.493, -4.610e-5
-0.492, -4.574e-5
-0.491, -4.550e-5
-0.490, -4.517e-5
-0.489, -4.493e-5
-0.488, -4.461e-5
-0.487, -4.441e-5
-0.486, -4.408e-5
-0.485, -4.388e-5
-0.484, -4.356e-5
-0.483, -4.334e-5
-0.482, -4.302e-5
-0.481, -4.280e-5
-0.480, -4.248e-5
-0.479, -4.227e-5
-0.478, -4.195e-5
-0.477, -4.175e-5
-0.476, -4.144e-5
-0.475, -4.124e-5
-0.474, -4.093e-5
-0.473, -4.072e-5
-0.472, -4.041e-5
-0.471, -4.022e-5
-0.470, -3.989e-5
-0.469, -3.969e-5
-0.468, -3.938e-5
-0.467, -3.919e-5
-0.466, -3.887e-5
-0.465, -3.869e-5
-0.464, -3.839e-5
-0.463, -3.820e-5
-0.462, -3.789e-5
-0.461, -3.769e-5
-0.460, -3.738e-5
-0.459, -3.721e-5
-0.458, -3.691e-5
-0.457, -3.673e-5
-0.456, -3.644e-5
-0.455, -3.625e-5
-0.454, -3.596e-5
-0.453, -3.578e-5
-0.452, -3.548e-5
-0.451, -3.532e-5
-0.450, -3.500e-5
-0.449, -3.483e-5
-0.448, -3.455e-5
-0.447, -3.437e-5
-0.446, -3.410e-5
-0.445, -3.392e-5
-0.444, -3.362e-5
-0.443, -3.347e-5
-0.442, -3.318e-5
-0.441, -3.302e-5
-0.440, -3.276e-5
-0.439, -3.258e-5
-0.438, -3.231e-5
-0.437, -3.214e-5
-0.436, -3.186e-5
-0.435, -3.171e-5
-0.434, -3.142e-5
-0.433, -3.127e-5
-0.432, -3.098e-5
-0.431, -3.082e-5
-0.430, -3.053e-5
-0.429, -3.039e-5
-0.428, -3.009e-5
-0.427, -2.997e-5
-0.426, -2.967e-5
-0.425, -2.953e-5
-0.424, -2.927e-5
-0.423, -2.912e-5
-0.422, -2.883e-5
-0.421, -2.871e-5
-0.420, -2.841e-5
-0.419, -2.828e-5
-0.418, -2.802e-5
-0.417, -2.787e-5
-0.416, -2.761e-5
-0.415, -2.749e-5
-0.414, -2.723e-5
-0.413, -2.712e-5
-0.412, -2.684e-5
-0.411, -2.673e-5
-0.410, -2.644e-5
-0.409, -2.629e-5
-0.408, -2.602e-5
-0.407, -2.592e-5
-0.406, -2.563e-5
-0.405, -2.554e-5
-0.404, -2.527e-5
-0.403, -2.515e-5
-0.402, -2.489e-5
-0.401, -2.475e-5
-0.400, -2.448e-5
-0.399, -2.438e-5
-0.398, -2.412e-5
-0.397, -2.401e-5
-0.396, -2.373e-5
-0.395, -2.363e-5
-0.394, -2.335e-5
-0.393, -2.326e-5
-0.392, -2.299e-5
-0.391, -2.289e-5
-0.390, -2.262e-5
-0.389, -2.252e-5
-0.388, -2.227e-5
-0.387, -2.218e-5
-0.386, -2.190e-5
-0.385, -2.181e-5
-0.384, -2.152e-5
-0.383, -2.143e-5
-0.382, -2.118e-5
-0.381, -2.109e-5
-0.380, -2.082e-5
-0.379, -2.072e-5
-0.378, -2.045e-5
-0.377, -2.039e-5
-0.376, -2.013e-5
-0.375, -2.005e-5
-0.374, -1.983e-5
-0.373, -1.973e-5
-0.372, -1.949e-5
-0.371, -1.942e-5
-0.370, -1.915e-5
-0.369, -1.906e-5
-0.368, -1.880e-5
-0.367, -1.870e-5
-0.366, -1.845e-5
-0.365, -1.838e-5
-0.364, -1.812e-5
-0.363, -1.806e-5
-0.362, -1.779e-5
-0.361, -1.772e-5
-0.360, -1.747e-5
-0.359, -1.740e-5
-0.358, -1.714e-5
-0.357, -1.709e-5
-0.356, -1.682e-5
-0.355, -1.677e-5
-0.354, -1.652e-5
-0.353, -1.645e-5
-0.352, -1.620e-5
-0.351, -1.614e-5
-0.350, -1.588e-5
-0.349, -1.582e-5
-0.348, -1.556e-5
-0.347, -1.550e-5
-0.346, -1.525e-5
-0.345, -1.519e-5
-0.344, -1.494e-5
-0.343, -1.490e-5
-0.342, -1.465e-5
-0.341, -1.461e-5
-0.340, -1.437e-5
-0.339, -1.431e-5
-0.338, -1.406e-5
-0.337, -1.402e-5
-0.336, -1.378e-5
-0.335, -1.373e-5
-0.334, -1.346e-5
-0.333, -1.342e-5
-0.332, -1.317e-5
-0.331, -1.312e-5
-0.330, -1.287e-5
-0.329, -1.284e-5
-0.328, -1.258e-5
-0.327, -1.256e-5
-0.326, -1.231e-5
-0.325, -1.228e-5
-0.324, -1.202e-5
-0.323, -1.202e-5
-0.322, -1.176e-5
-0.321, -1.172e-5
-0.320, -1.148e-5
-0.319, -1.144e-5
-0.318, -1.121e-5
-0.317, -1.119e-5
-0.316, -1.092e-5
-0.315, -1.090e-5
-0.314, -1.063e-5
-0.313, -1.062e-5
-0.312, -1.037e-5
-0.311, -1.034e-5
-0.310, -1.010e-5
-0.309, -1.008e-5
-0.308, -9.835e-6
-0.307, -9.784e-6
-0.306, -9.567e-6
-0.305, -9.533e-6
-0.304, -9.317e-6
-0.303, -9.301e-6
-0.302, -9.052e-6
-0.301, -9.042e-6
-0.300, -8.790e-6
-0.299, -8.795e-6
-0.298, -8.547e-6
-0.297, -8.544e-6
-0.296, -8.297e-6
-0.295, -8.286e-6
-0.294, -8.036e-6
-0.293, -8.026e-6
-0.292, -7.782e-6
-0.291, -7.789e-6
-0.290, -7.535e-6
-0.289, -7.539e-6
-0.288, -7.294e-6
-0.287, -7.299e-6
-0.286, -7.064e-6
-0.285, -7.064e-6
-0.284, -6.832e-6
-0.283, -6.824e-6
-0.282, -6.596e-6
-0.281, -6.598e-6
-0.280, -6.369e-6
-0.279, -6.368e-6
-0.278, -6.131e-6
-0.277, -6.127e-6
-0.276, -5.888e-6
-0.275, -5.904e-6
-0.274, -5.648e-6
-0.273, -5.671e-6
-0.272, -5.441e-6
-0.271, -5.439e-6
-0.270, -5.179e-6
-0.269, -5.209e-6
-0.268, -4.971e-6
-0.267, -5.002e-6
-0.266, -4.747e-6
-0.265, -4.754e-6
-0.264, -4.533e-6
-0.263, -4.540e-6
-0.262, -4.300e-6
-0.261, -4.322e-6
-0.260, -4.074e-6
-0.259, -4.103e-6
-0.258, -3.881e-6
-0.257, -3.896e-6
-0.256, -3.651e-6
-0.255, -3.655e-6
-0.254, -3.424e-6
-0.253, -3.463e-6
-0.252, -3.220e-6
-0.251, -3.242e-6
-0.250, -3.007e-6
-0.249, -3.039e-6
-0.248, -2.804e-6
-0.247, -2.848e-6
-0.246, -2.601e-6
-0.245, -2.636e-6
-0.244, -2.399e-6
-0.243, -2.434e-6
-0.242, -2.190e-6
-0.241, -2.231e-6
-0.240, -1.988e-6
-0.239, -2.017e-6
-0.238, -1.793e-6
-0.237, -1.821e-6
-0.236, -1.588e-6
-0.235, -1.633e-6
-0.234, -1.397e-6
-0.233, -1.441e-6
-0.232, -1.198e-6
-0.231, -1.241e-6
-0.230, -9.919e-7
-0.229, -1.046e-6
-0.228, -7.893e-7
-0.227, -8.464e-7
-0.226, -5.956e-7
-0.225, -6.556e-7
-0.224, -4.136e-7
-0.223, -4.530e-7
-0.222, -2.238e-7
-0.221, -2.750e-7
-0.220, -2.813e-8
-0.219, -9.894e-8
-0.218, 1.341e-7
-0.217, 9.579e-8
-0.216, 3.240e-7
-0.215, 2.758e-7
-0.214, 5.157e-7
-0.213, 4.557e-7
-0.212, 6.937e-7
-0.211, 6.426e-7
-0.210, 8.855e-7
-0.209, 8.334e-7
-0.208, 1.066e-6
-0.207, 1.004e-6
-0.206, 1.246e-6
-0.205, 1.184e-6
-0.204, 1.434e-6
-0.203, 1.368e-6
-0.202, 1.621e-6
-0.201, 1.540e-6
-0.200, 1.775e-6
-0.199, 1.722e-6
-0.198, 1.956e-6
-0.197, 1.891e-6
-0.196, 2.132e-6
-0.195, 2.067e-6
-0.194, 2.304e-6
-0.193, 2.247e-6
-0.192, 2.482e-6
-0.191, 2.421e-6
-0.190, 2.644e-6
-0.189, 2.578e-6
-0.188, 2.814e-6
-0.187, 2.727e-6
-0.186, 2.983e-6
-0.185, 2.932e-6
-0.184, 3.144e-6
-0.183, 3.088e-6
-0.182, 3.330e-6
-0.181, 3.254e-6
-0.180, 3.495e-6
-0.179, 3.427e-6
-0.178, 3.656e-6
-0.177, 3.593e-6
-0.176, 3.810e-6
-0.175, 3.756e-6
-0.174, 3.975e-6
-0.173, 3.900e-6
-0.172, 4.134e-6
-0.171, 4.058e-6
-0.170, 4.287e-6
-0.169, 4.233e-6
-0.168, 4.461e-6
-0.167, 4.381e-6
-0.166, 4.615e-6
-0.165, 4.540e-6
-0.164, 4.773e-6
-0.163, 4.701e-6
-0.162, 4.937e-6
-0.161, 4.846e-6
-0.160, 5.082e-6
-0.159, 5.012e-6
-0.158, 5.252e-6
-0.157, 5.167e-6
-0.156, 5.405e-6
-0.155, 5.305e-6
-0.154, 5.542e-6
-0.153, 5.471e-6
-0.152, 5.717e-6
-0.151, 5.627e-6
-0.150, 5.867e-6
-0.149, 5.768e-6
-0.148, 6.010e-6
-0.147, 5.919e-6
-0.146, 6.175e-6
-0.145, 6.076e-6
-0.144, 6.302e-6
-0.143, 6.228e-6
-0.142, 6.468e-6
-0.141, 6.348e-6
-0.140, 6.613e-6
-0.139, 6.516e-6
-0.138, 6.744e-6
-0.137, 6.654e-6
-0.136, 6.896e-6
-0.135, 6.795e-6
-0.134, 7.050e-6
-0.133, 6.944e-6
-0.132, 7.180e-6
-0.131, 7.079e-6
-0.130, 7.314e-6
-0.129, 7.234e-6
-0.128, 7.480e-6
-0.127, 7.367e-6
-0.126, 7.605e-6
-0.125, 7.511e-6
-0.124, 7.760e-6
-0.123, 7.645e-6
-0.122, 7.885e-6
-0.121, 7.772e-6
-0.120, 8.024e-6
-0.119, 7.906e-6
-0.118, 8.141e-6
-0.117, 8.048e-6
-0.116, 8.299e-6
-0.115, 8.187e-6
-0.114, 8.433e-6
-0.113, 8.321e-6
-0.112, 8.565e-6
-0.111, 8.454e-6
-0.110, 8.681e-6
-0.109, 8.598e-6
-0.108, 8.818e-6
-0.107, 8.701e-6
-0.106, 8.951e-6
-0.105, 8.838e-6
-0.104, 9.069e-6
-0.103, 8.977e-6
-0.102, 9.223e-6
-0.101, 9.092e-6
-0.100, 9.330e-6
-0.099, 9.209e-6
-0.098, 9.430e-6
-0.097, 9.332e-6
-0.096, 9.547e-6
-0.095, 9.451e-6
-0.094, 9.672e-6
-0.093, 9.554e-6
-0.092, 9.794e-6
-0.091, 9.667e-6
-0.090, 9.898e-6
-0.089, 9.791e-6
-0.088, 1.001e-5
-0.087, 9.898e-6
-0.086, 1.012e-5
-0.085, 1.001e-5
-0.084, 1.023e-5
-0.083, 1.012e-5
-0.082, 1.035e-5
-0.081, 1.023e-5
-0.080, 1.046e-5
-0.079, 1.034e-5
-0.078, 1.054e-5
-0.077, 1.044e-5
-0.076, 1.068e-5
-0.075, 1.054e-5
-0.074, 1.079e-5
-0.073, 1.066e-5
-0.072, 1.089e-5
-0.071, 1.076e-5
-0.070, 1.098e-5
-0.069, 1.085e-5
-0.068, 1.108e-5
-0.067, 1.094e-5
-0.066, 1.117e-5
-0.065, 1.105e-5
-0.064, 1.127e-5
-0.063, 1.115e-5
-0.062, 1.136e-5
-0.061, 1.122e-5
-0.060, 1.146e-5
-0.059, 1.133e-5
-0.058, 1.154e-5
-0.057, 1.143e-5
-0.056, 1.162e-5
-0.055, 1.150e-5
-0.054, 1.171e-5
-0.053, 1.159e-5
-0.052, 1.178e-5
-0.051, 1.168e-5
-0.050, 1.187e-5
-0.049, 1.174e-5
-0.048, 1.196e-5
-0.047, 1.184e-5
-0.046, 1.204e-5
-0.045, 1.191e-5
-0.044, 1.211e-5
-0.043, 1.198e-5
-0.042, 1.219e-5
-0.041, 1.207e-5
-0.040, 1.226e-5
-0.039, 1.214e-5
-0.038, 1.233e-5
-0.037, 1.222e-5
-0.036, 1.244e-5
-0.035, 1.228e-5
-0.034, 1.250e-5
-0.033, 1.235e-5
-0.032, 1.257e-5
-0.031, 1.246e-5
-0.030, 1.266e-5
-0.029, 1.251e-5
-0.028, 1.274e-5
-0.027, 1.258e-5
-0.026, 1.279e-5
-0.025, 1.269e-5
-0.024, 1.289e-5
-0.023, 1.275e-5
-0.022, 1.295e-5
-0.021, 1.282e-5
-0.020, 1.302e-5
-0.019, 1.289e-5
-0.018, 1.311e-5
-0.017, 1.295e-5
-0.016, 1.318e-5
-0.015, 1.302e-5
-0.014, 1.323e-5
-0.013, 1.311e-5
-0.012, 1.331e-5
-0.011, 1.316e-5
-0.010, 1.338e-5
-0.009, 1.323e-5
-0.008, 1.343e-5
-0.007, 1.330e-5
-0.006, 1.352e-5
-0.005, 1.336e-5
-0.004, 1.357e-5
-0.003, 1.344e-5
-0.002, 1.364e-5
-0.001, 1.351e-5
-0.000, 1.374e-5
0.001, 1.360e-5
0.002, 1.380e-5
0.003, 1.366e-5
0.004, 1.388e-5
0.005, 1.371e-5
0.006, 1.393e-5
0.007, 1.379e-5
0.008, 1.399e-5
0.009, 1.385e-5
0.010, 1.404e-5
0.011, 1.389e-5
0.012, 1.411e-5
0.013, 1.398e-5
0.014, 1.418e-5
0.015, 1.405e-5
0.016, 1.423e-5
0.017, 1.409e-5
0.018, 1.431e-5
0.019, 1.417e-5
0.020, 1.436e-5
0.021, 1.422e-5
0.022, 1.443e-5
0.023, 1.428e-5
0.024, 1.450e-5
0.025, 1.436e-5
0.026, 1.455e-5
0.027, 1.440e-5
0.028, 1.463e-5
0.029, 1.447e-5
0.030, 1.467e-5
0.031, 1.454e-5
0.032, 1.474e-5
0.033, 1.461e-5
0.034, 1.481e-5
0.035, 1.467e-5
0.036, 1.487e-5
0.037, 1.472e-5
0.038, 1.493e-5
0.039, 1.480e-5
0.040, 1.501e-5
0.041, 1.486e-5
0.042, 1.505e-5
0.043, 1.492e-5
0.044, 1.512e-5
0.045, 1.499e-5
0.046, 1.520e-5
0.047, 1.504e-5
0.048, 1.526e-5
0.049, 1.513e-5
0.050, 1.534e-5
0.051, 1.518e-5
0.052, 1.540e-5
0.053, 1.526e-5
0.054, 1.545e-5
0.055, 1.532e-5
0.056, 1.555e-5
0.057, 1.538e-5
0.058, 1.559e-5
0.059, 1.546e-5
0.060, 1.567e-5
0.061, 1.552e-5
0.062, 1.573e-5
0.063, 1.558e-5
0.064, 1.581e-5
0.065, 1.567e-5
0.066, 1.586e-5
0.067, 1.574e-5
0.068, 1.594e-5
0.069, 1.579e-5
0.070, 1.601e-5
0.071, 1.588e-5
0.072, 1.608e-5
0.073, 1.595e-5
0.074, 1.617e-5
0.075, 1.600e-5
0.076, 1.623e-5
0.077, 1.610e-5
0.078, 1.629e-5
0.079, 1.615e-5
0.080, 1.635e-5
0.081, 1.621e-5
0.082, 1.644e-5
0.083, 1.628e-5
0.084, 1.650e-5
0.085, 1.635e-5
0.086, 1.657e-5
0.087, 1.642e-5
0.088, 1.665e-5
0.089, 1.651e-5
0.090, 1.671e-5
0.091, 1.656e-5
0.092, 1.678e-5
0.093, 1.663e-5
0.094, 1.685e-5
0.095, 1.670e-5
0.096, 1.691e-5
0.097, 1.677e-5
0.098, 1.697e-5
0.099, 1.685e-5
0.100, 1.704e-5
0.101, 1.691e-5
0.102, 1.713e-5
0.103, 1.700e-5
0.104, 1.719e-5
0.105, 1.706e-5
0.106, 1.727e-5
0.107, 1.713e-5
0.108, 1.733e-5
0.109, 1.720e-5
0.110, 1.740e-5
0.111, 1.728e-5
0.112, 1.749e-5
0.113, 1.735e-5
0.114, 1.755e-5
0.115, 1.742e-5
0.116, 1.763e-5
0.117, 1.750e-5
0.118, 1.771e-5
0.119, 1.757e-5
0.120, 1.779e-5
0.121, 1.765e-5
0.122, 1.786e-5
0.123, 1.773e-5
0.124, 1.794e-5
0.125, 1.779e-5
0.126, 1.803e-5
0.127, 1.789e-5
0.128, 1.811e-5
0.129, 1.796e-5
0.130, 1.819e-5
0.131, 1.805e-5
0.132, 1.826e-5
0.133, 1.811e-5
0.134, 1.834e-5
0.135, 1.821e-5
0.136, 1.840e-5
0.137, 1.828e-5
0.138, 1.849e-5
0.139, 1.835e-5
0.140, 1.858e-5
0.141, 1.844e-5
0.142, 1.867e-5
0.143, 1.853e-5
0.144, 1.874e-5
0.145, 1.860e-5
0.146, 1.883e-5
0.147, 1.868e-5
0.148, 1.890e-5
0.149, 1.876e-5
0.150, 1.898e-5
0.151, 1.885e-5
0.152, 1.907e-5
0.153, 1.893e-5
0.154, 1.918e-5
0.155, 1.903e-5
0.156, 1.924e-5
0.157, 1.909e-5
0.158, 1.931e-5
0.159, 1.917e-5
0.160, 1.940e-5
0.161, 1.926e-5
0.162, 1.948e-5
0.163, 1.933e-5
0.164, 1.957e-5
0.165, 1.943e-5
0.166, 1.966e-5
0.167, 1.951e-5
0.168, 1.972e-5
0.169, 1.959e-5
0.170, 1.982e-5
0.171, 1.968e-5
0.172, 1.990e-5
0.173, 1.976e-5
0.174, 1.996e-5
0.175, 1.984e-5
0.176, 2.006e-5
0.177, 1.993e-5
0.178, 2.014e-5
0.179, 2.001e-5
0.180, 2.023e-5
0.181, 2.009e-5
0.182, 2.031e-5
0.183, 2.018e-5
0.184, 2.040e-5
0.185, 2.027e-5
0.186, 2.049e-5
0.187, 2.036e-5
0.188, 2.058e-5
0.189, 2.044e-5
0.190, 2.067e-5
0.191, 2.054e-5
0.192, 2.076e-5
0.193, 2.063e-5
0.194, 2.085e-5
0.195, 2.071e-5
0.196, 2.095e-5
0.197, 2.080e-5
0.198, 2.102e-5
0.199, 2.091e-5
0.200, 2.112e-5
0.201, 2.099e-5
0.202, 2.122e-5
0.203, 2.109e-5
0.204, 2.132e-5
0.205, 2.120e-5
0.206, 2.142e-5
0.207, 2.128e-5
0.208, 2.151e-5
0.209, 2.139e-5
0.210, 2.163e-5
0.211, 2.148e-5
0.212, 2.171e-5
0.213, 2.158e-5
0.214, 2.181e-5
0.215, 2.169e-5
0.216, 2.190e-5
0.217, 2.178e-5
0.218, 2.202e-5
0.219, 2.188e-5
0.220, 2.210e-5
0.221, 2.197e-5
0.222, 2.219e-5
0.223, 2.207e-5
0.224, 2.228e-5
0.225, 2.216e-5
0.226, 2.240e-5
0.227, 2.225e-5
0.228, 2.249e-5
0.229, 2.236e-5
0.230, 2.258e-5
0.231, 2.246e-5
0.232, 2.268e-5
0.233, 2.256e-5
0.234, 2.278e-5
0.235, 2.266e-5
0.236, 2.288e-5
0.237, 2.275e-5
0.238, 2.298e-5
0.239, 2.286e-5
0.240, 2.306e-5
0.241, 2.297e-5
0.242, 2.318e-5
0.243, 2.306e-5
0.244, 2.327e-5
0.245, 2.317e-5
0.246, 2.340e-5
0.247, 2.326e-5
0.248, 2.350e-5
0.249, 2.337e-5
0.250, 2.361e-5
0.251, 2.348e-5
0.252, 2.371e-5
0.253, 2.359e-5
0.254, 2.381e-5
0.255, 2.370e-5
0.256, 2.392e-5
0.257, 2.381e-5
0.258, 2.403e-5
0.259, 2.391e-5
0.260, 2.413e-5
0.261, 2.401e-5
0.262, 2.425e-5
0.263, 2.414e-5
0.264, 2.435e-5
0.265, 2.424e-5
0.266, 2.447e-5
0.267, 2.435e-5
0.268, 2.457e-5
0.269, 2.446e-5
0.270, 2.468e-5
0.271, 2.457e-5
0.272, 2.478e-5
0.273, 2.468e-5
0.274, 2.490e-5
0.275, 2.478e-5
0.276, 2.502e-5
